trace,C1,B,S1,C2,S2,prefetch,r,L1_AAT,L1_HR,L1_MR,L2_AAT,L2_RHR,L2_RMR,PF_issued,PF_hits,PF_misses,L1_misses,L2_rhits,L2_rmisses,WB_L1
gcc,14,6,3,16,4,hybrid,512,3.289,0.978,0.022,31.428,0.747,0.253,1780,797,966,10963,8191,2772,5151
gcc,14,6,3,17,3,hybrid,4,3.103,0.978,0.022,22.951,0.843,0.157,1170,642,363,10963,9243,1720,5151
gcc,14,6,3,17,3,hybrid,16,3.103,0.978,0.022,22.951,0.843,0.157,1167,644,357,10963,9243,1720,5151
gcc,14,6,3,17,3,hybrid,32,3.102,0.978,0.022,22.893,0.844,0.156,1163,648,350,10963,9251,1712,5151
gcc,14,6,3,17,3,hybrid,64,3.101,0.978,0.022,22.849,0.844,0.156,1152,651,338,10963,9257,1706,5151
gcc,14,6,3,17,3,hybrid,128,3.100,0.978,0.022,22.813,0.845,0.155,1145,655,326,10963,9262,1701,5151
gcc,14,6,3,17,3,hybrid,256,3.098,0.978,0.022,22.725,0.846,0.154,1138,659,316,10963,9274,1689,5151
gcc,14,6,3,17,3,hybrid,512,3.098,0.978,0.022,22.718,0.846,0.154,1133,663,308,10963,9275,1688,5151
gcc,14,6,3,17,4,hybrid,4,3.111,0.978,0.022,23.299,0.849,0.151,1133,645,340,10963,9305,1658,5151
gcc,14,6,3,17,4,hybrid,16,3.111,0.978,0.022,23.306,0.849,0.151,1128,644,336,10963,9304,1659,5151
gcc,14,6,3,17,4,hybrid,32,3.111,0.978,0.022,23.313,0.849,0.151,1126,643,336,10963,9303,1660,5151
gcc,14,6,3,17,4,hybrid,64,3.109,0.978,0.022,23.219,0.850,0.150,1126,646,332,10963,9316,1647,5151
gcc,14,6,3,17,4,hybrid,128,3.109,0.978,0.022,23.219,0.850,0.150,1123,648,329,10963,9316,1647,5151
gcc,14,6,3,17,4,hybrid,256,3.109,0.978,0.022,23.211,0.850,0.150,1122,648,328,10963,9317,1646,5151
gcc,14,6,3,17,4,hybrid,512,3.109,0.978,0.022,23.226,0.850,0.150,1118,651,320,10963,9315,1648,5151
gcc,15,6,1,16,3,hybrid,4,2.793,0.985,0.015,39.496,0.636,0.364,1640,624,973,7509,4778,2731,3366
gcc,15,6,1,16,3,hybrid,16,2.792,0.985,0.015,39.411,0.637,0.363,1628,628,958,7509,4786,2723,3366
gcc,15,6,1,16,3,hybrid,32,2.788,0.985,0.015,39.123,0.641,0.359,1617,630,944,7509,4813,2696,3366
gcc,15,6,1,16,3,hybrid,64,2.789,0.985,0.015,39.187,0.640,0.360,1600,632,926,7509,4807,2702,3366
gcc,15,6,1,16,3,hybrid,128,2.781,0.985,0.015,38.665,0.647,0.353,1561,660,861,7509,4856,2653,3366
gcc,15,6,1,16,3,hybrid,256,2.777,0.985,0.015,38.452,0.649,0.351,1564,694,834,7509,4876,2633,3366
gcc,15,6,1,16,3,hybrid,512,2.770,0.985,0.015,37.962,0.655,0.345,1551,715,801,7509,4922,2587,3366
gcc,15,6,1,16,4,hybrid,4,2.791,0.985,0.015,39.369,0.648,0.352,1622,578,1019,7509,4865,2644,3366
gcc,15,6,1,16,4,hybrid,16,2.790,0.985,0.015,39.273,0.649,0.351,1612,580,1006,7509,4874,2635,3366
gcc,15,6,1,16,4,hybrid,32,2.789,0.985,0.015,39.198,0.650,0.350,1610,583,1001,7509,4881,2628,3366
gcc,15,6,1,16,4,hybrid,64,2.789,0.985,0.015,39.198,0.650,0.350,1588,581,983,7509,4881,2628,3366
gcc,15,6,1,16,4,hybrid,128,2.776,0.985,0.015,38.346,0.661,0.339,1552,610,915,7509,4961,2548,3366
gcc,15,6,1,16,4,hybrid,256,2.767,0.985,0.015,37.760,0.668,0.332,1523,645,858,7509,5016,2493,3366
gcc,15,6,1,16,4,hybrid,512,2.769,0.985,0.015,37.856,0.667,0.333,1527,650,857,7509,5007,2502,3366
gcc,15,6,1,17,3,hybrid,4,2.635,0.985,0.015,28.938,0.768,0.232,1174,645,340,7509,5769,1740,3366
gcc,15,6,1,17,3,hybrid,16,2.634,0.985,0.015,28.916,0.769,0.231,1170,647,334,7509,5771,1738,3366
gcc,15,6,1,17,3,hybrid,32,2.633,0.985,0.015,28.853,0.769,0.231,1162,649,325,7509,5777,1732,3366
gcc,15,6,1,17,3,hybrid,64,2.632,0.985,0.015,28.735,0.771,0.229,1152,650,314,7509,5788,1721,3366
gcc,15,6,1,17,3,hybrid,128,2.631,0.985,0.015,28.671,0.772,0.228,1142,655,302,7509,5794,1715,3366
gcc,15,6,1,17,3,hybrid,256,2.628,0.985,0.015,28.512,0.774,0.226,1139,660,294,7509,5809,1700,3366
gcc,15,6,1,17,3,hybrid,512,2.629,0.985,0.015,28.554,0.773,0.227,1134,661,287,7509,5805,1704,3366
gcc,15,6,1,17,4,hybrid,4,2.630,0.985,0.015,28.619,0.782,0.218,1117,639,269,7509,5874,1635,3366
gcc,15,6,1,17,4,hybrid,16,2.630,0.985,0.015,28.651,0.782,0.218,1116,639,268,7509,5871,1638,3366
gcc,15,6,1,17,4,hybrid,32,2.630,0.985,0.015,28.662,0.782,0.218,1112,638,266,7509,5870,1639,3366
gcc,15,6,1,17,4,hybrid,64,2.629,0.985,0.015,28.587,0.783,0.217,1111,641,262,7509,5877,1632,3366
gcc,15,6,1,17,4,hybrid,128,2.628,0.985,0.015,28.523,0.783,0.217,1111,644,262,7509,5883,1626,3366
gcc,15,6,1,17,4,hybrid,256,2.628,0.985,0.015,28.523,0.783,0.217,1110,644,261,7509,5883,1626,3366
gcc,15,6,1,17,4,hybrid,512,2.628,0.985,0.015,28.523,0.783,0.217,1107,647,252,7509,5883,1626,3366
gcc,15,6,2,16,3,hybrid,4,2.970,0.988,0.012,46.511,0.549,0.451,1671,631,980,6130,3363,2767,2776
gcc,15,6,2,16,3,hybrid,16,2.969,0.988,0.012,46.433,0.550,0.450,1667,631,977,6130,3369,2761,2776
gcc,15,6,2,16,3,hybrid,32,2.969,0.988,0.012,46.407,0.550,0.450,1665,630,975,6130,3371,2759,2776
gcc,15,6,2,16,3,hybrid,64,2.969,0.988,0.012,46.420,0.550,0.450,1628,630,938,6130,3370,2760,2776
gcc,15,6,2,16,3,hybrid,128,2.961,0.988,0.012,45.767,0.558,0.442,1572,659,858,6130,3420,2710,2776
gcc,15,6,2,16,3,hybrid,256,2.950,0.988,0.012,44.893,0.569,0.431,1541,702,793,6130,3487,2643,2776
gcc,15,6,2,16,3,hybrid,512,2.948,0.988,0.012,44.671,0.572,0.428,1588,732,809,6130,3504,2626,2776
gcc,15,6,2,16,4,hybrid,4,2.949,0.988,0.012,44.779,0.580,0.420,1614,567,1009,6130,3557,2573,2776
gcc,15,6,2,16,4,hybrid,16,2.948,0.988,0.012,44.714,0.581,0.419,1612,570,1004,6130,3562,2568,2776
gcc,15,6,2,16,4,hybrid,32,2.947,0.988,0.012,44.649,0.582,0.418,1596,570,988,6130,3567,2563,2776
gcc,15,6,2,16,4,hybrid,64,2.945,0.988,0.012,44.453,0.584,0.416,1570,572,962,6130,3582,2548,2776
gcc,15,6,2,16,4,hybrid,128,2.940,0.988,0.012,44.035,0.590,0.410,1507,588,884,6130,3614,2516,2776
gcc,15,6,2,16,4,hybrid,256,2.929,0.988,0.012,43.148,0.601,0.399,1513,639,845,6130,3682,2448,2776
gcc,15,6,2,16,4,hybrid,512,2.925,0.988,0.012,42.795,0.605,0.395,1523,655,837,6130,3709,2421,2776
gcc,15,6,2,17,3,hybrid,4,2.804,0.988,0.012,32.964,0.718,0.282,1154,645,319,6130,4401,1729,2776
gcc,15,6,2,17,3,hybrid,16,2.804,0.988,0.012,32.964,0.718,0.282,1154,645,319,6130,4401,1729,2776
gcc,15,6,2,17,3,hybrid,32,2.804,0.988,0.012,32.938,0.718,0.282,1151,647,315,6130,4403,1727,2776
gcc,15,6,2,17,3,hybrid,64,2.803,0.988,0.012,32.886,0.719,0.281,1142,647,307,6130,4407,1723,2776
